datetime,holdings,cash,total,returns
2000-09-19,14984.858287843745,96563.54896957893,111548.40725742267,-0.001612910745313112
2000-09-20,15262.562850535107,96563.54896957893,111826.11182011403,0.0024895430559621623
2000-09-21,14172.522495107723,96563.54896957893,110736.07146468665,-0.009747637091959693
2000-09-22,13047.31954756978,96563.54896957893,109610.86851714872,-0.010161123946832107
2000-09-25,13374.970974054553,96563.54896957893,109938.51994363348,0.0029892238873512333
2000-09-26,12859.918914616903,96563.54896957893,109423.46788419584,-0.004684909890561695
2000-09-27,12234.983754833756,96563.54896957893,108798.53272441268,-0.005711162073976039
2000-09-28,13374.970974054553,96563.54896957893,109938.51994363348,0.010477965011792989
2000-09-29,6437.55138060505,96563.54896957893,103001.10035018397,-0.06310271956550251
2000-10-02,6062.350539788954,96563.54896957893,102625.89950936788,-0.003642687694990432
2000-10-03,5577.6661735377,96563.54896957893,102141.21514311663,-0.004722826972220706
2000-10-04,5904.918025112123,96563.54896957893,102468.46699469106,0.003203915785766842
2000-10-05,5514.932912613177,96563.54896957893,102078.4818821921,-0.0038059036495505794
2000-10-06,5547.298480351308,96563.54896957893,102110.84744993024,0.0003170655278306178
2000-10-09,5437.415380005804,96563.54896957893,102000.96434958473,-0.0010761158396945802
2000-10-10,5217.6491793148,96563.54896957893,101781.19814889373,-0.0021545502250135407
2000-10-11,4905.1815994232265,96563.54896957893,101468.73056900216,-0.003069993137970961
2000-10-12,4999.880853175532,96563.54896957893,101563.42982275446,0.0009332850940508841
2000-10-13,5514.932912613177,96563.54896957893,102078.4818821921,0.00507123538793941
2000-10-16,5375.08169399163,96563.54896957893,101938.63066357056,-0.001370036231367111
2000-10-17,5029.848971451578,96563.54896957893,101593.3979410305,-0.003386672160423876
2000-10-18,5029.848971451578,96563.54896957893,101593.3979410305,0
2000-10-19,4734.962687615285,96563.54896957893,101298.51165719422,-0.002902612667876836
2000-10-20,4874.813906236833,96563.54896957893,101438.36287581576,0.0013805851273986924
2000-10-23,5092.5822323760995,96563.54896957893,101656.13120195502,0.0021468044235479766
2000-10-24,4717.381391560004,96563.54896957893,101280.93036113893,-0.003690882550612673
2000-10-25,4625.079587269783,96563.54896957893,101188.62855684871,-0.0009113443563473211
2000-10-26,4625.079587269783,96563.54896957893,101188.62855684871,0
2000-10-27,4639.863858952632,96563.54896957893,101203.41282853157,0.00014610605849396663
2000-10-30,4827.664066815853,96563.54896957893,101391.21303639478,0.0018556706993804184
2000-10-31,4889.997752830031,96563.54896957893,101453.54672240897,0.0006147839062917715
2000-11-01,5124.947800114231,96563.54896957893,101688.49676969316,0.002315838675675419
2000-11-02,5577.6661735377,96563.54896957893,102141.21514311663,0.004452011661149946
2000-11-03,5562.482326944503,96563.54896957893,102126.03129652343,-0.0001486554332834622
2000-11-06,5359.897847398432,96563.54896957893,101923.44681697736,-0.0019836713223279068
2000-11-07,5327.532279660301,96563.54896957893,101891.08124923923,-0.0003175478140594601
2000-11-08,5015.064699768729,96563.54896957893,101578.61366934766,-0.003066682344132099
2000-11-09,5047.4302675068575,96563.54896957893,101610.97923708579,0.0003186258068403891
2000-11-10,4764.93080589133,96563.54896957893,101328.47977547026,-0.002780206073561997
2000-11-13,4842.448338498703,96563.54896957893,101405.99730807764,0.0007650122924882652
2000-11-14,5062.614114100056,96563.54896957893,101626.16308367898,0.002171131702718432
2000-11-15,4967.515285437402,96563.54896957893,101531.06425501633,-0.0009357711220913112
2000-11-16,4750.146534208481,96563.54896957893,101313.69550378741,-0.002140908822574228
2000-11-17,0,101307.19550378741,101307.19550378741,-6.415717014052191e-05
2000-11-20,0,101307.19550378741,101307.19550378741,0
2000-11-21,0,101307.19550378741,101307.19550378741,0
2000-11-22,0,101307.19550378741,101307.19550378741,0
2000-11-24,0,101307.19550378741,101307.19550378741,0
2000-11-27,0,101307.19550378741,101307.19550378741,0
2000-11-28,0,101307.19550378741,101307.19550378741,0
2000-11-29,0,101307.19550378741,101307.19550378741,0
